movie_name,movie_score,movie_eval,img_src
幸福终点站,8.8,443526人评价,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p854757687.jpg
告白,8.7,579232人评价,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p689520756.jpg
大鱼,8.8,468459人评价,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p692813374.jpg
射雕英雄传之东成西就,8.7,527042人评价,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2609063925.jpg
阳光姐妹淘,8.8,503486人评价,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1374786017.jpg
天书奇谭,9.2,186995人评价,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2515539487.jpg
恐怖直播,8.7,525749人评价,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2016930906.jpg
怪兽电力公司,8.7,531803人评价,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2513247938.jpg
哈利·波特与密室,8.7,525951人评价,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1082651990.jpg
神偷奶爸,8.6,789267人评价,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p792776858.jpg
时空恋旅人,8.8,474248人评价,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2070153774.jpg
玩具总动员3,8.9,410364人评价,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1283675359.jpg
傲慢与偏见,8.7,631845人评价,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2016401659.jpg
教父3,8.9,285321人评价,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2169664351.jpg
釜山行,8.6,946466人评价,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2360940399.jpg
血战钢锯岭,8.7,650053人评价,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2398141939.jpg
哪吒闹海,9.1,203920人评价,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p2516566783.jpg
一个叫欧维的男人决定去死,8.9,334718人评价,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p2406624993.jpg
被解救的姜戈,8.8,488275人评价,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1800813767.jpg
七武士,9.3,155030人评价,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2215886505.jpg
喜宴,8.9,275915人评价,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2249048907.jpg
电锯惊魂,8.7,418390人评价,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2565332644.jpg
头号玩家,8.7,1126861人评价,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2516578307.jpg
我是山姆,8.9,255003人评价,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p652417775.jpg
风之谷,8.9,304447人评价,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p1917567652.jpg
未麻的部屋,9.0,233272人评价,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p1351050722.jpg
英雄本色,8.7,419895人评价,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2504997087.jpg
上帝之城,9.0,252551人评价,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p455677490.jpg
疯狂原始人,8.7,704791人评价,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1867084027.jpg
谍影重重3,8.8,347214人评价,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p792223507.jpg
卢旺达饭店,8.9,251732人评价,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p470419493.jpg
三块广告牌,8.7,675514人评价,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2510081688.jpg
纵横四海,8.8,334465人评价,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2597918718.jpg
花样年华,8.7,468776人评价,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p1910828286.jpg
新世界,8.9,293001人评价,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1903379979.jpg
模仿游戏,8.7,497334人评价,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p2255040492.jpg
达拉斯买家俱乐部,8.8,365062人评价,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2166160837.jpg
岁月神偷,8.7,498149人评价,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p456666151.jpg
黑客帝国3：矩阵革命,8.8,347973人评价,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p443461818.jpg
心迷宫,8.7,402780人评价,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2276780256.jpg
